不由得,bùyóude,can't help,lesson_5
压抑 <br \>壓抑,yāyì,constrain; inhibit; depress,lesson_5
颗 <br \>顆,kē,used for small particles,lesson_5
眨,zhǎ,blink; wink,lesson_5
如下,rúxià,as follows,lesson_6
机关 <br \>機關,jīguān,office,lesson_6
无所谓 <br \>無所謂,wúsuǒwèi,to be indifferent / not to matter,lesson_6
创业 <br \>創業,chuàngyè,to start an undertaking,lesson_6
感慨,gǎnkǎi,sigh with emotion,lesson_6
描述,miáoshù,to describe,lesson_6
差异 <br \>差異,chāyì,differentiation; difference,lesson_6
几乎 <br \>幾乎,jīhū,almost,lesson_6
肯定,kěndìng,definitely,lesson_6
终身 <br \>終身,zhōngshēn,lifelong,lesson_6
胆量 <br \>膽量,dǎnliàng,courage; guts; nerve,lesson_6
流行,liúxíng,popular,lesson_6
就业 <br \>就業,jiùyè,employment,lesson_6
简历 <br \>簡歷,jiǎnlì,resume,lesson_6
失败 <br \>失敗,shībài,be defeated; lose,lesson_6
充满,chōngmǎn,full of / brimming with,lesson_6
焦虑 <br \>焦慮,jiāolǜ,anxious; apprehensive,lesson_6
交流,jiāoliú,exchange; communicate,lesson_6
招聘,zhāopìn,advertise job offers; recruit employees,lesson_6
网站 <br \>網站,wǎngzhàn,website,lesson_6
涌 <br \>湧,yǒng,(of water or clouds) gush; surge,lesson_6
日益,rìyì,more and more,lesson_6
建筑 <br \>建築,jiànzhù,architecture; building,lesson_6
辞 <br \>辭,cí,resign; dismiss; decline,lesson_6
废品 <br \>廢品,fèipǐn,waste product; reject,lesson_6
破烂 <br \>破爛,pòlàn,junk; scrap,lesson_6
浪费,làngfèi,waste,lesson_6
贡献 <br \>貢獻,gòngxiàn,contribute; dedicate; contribution,lesson_6
环保 <br \>環保,huánbǎo,environmental protection,lesson_6
行业 <br \>行業,hángyè,trade; profession; industry,lesson_6
促进 <br \>促進,cùjìn,advance; promote,lesson_6
塑料,sùliào,plastic,lesson_6
财富,cáifù,wealth,lesson_6
获得 <br \>獲得,huòdé,obtain; acquire,lesson_6
利润 <br \>利潤,lìrùn,profits,lesson_6
网络 <br \>網絡,wǎngluò,network,lesson_6
老板 <br \>老闆,lǎobǎn,boss,lesson_6
失去,shīqù,to lose,lesson_6
保障,bǎozhàng,to ensure / to guarantee / to safeguard,lesson_6
碰壁,pèngbì,be rebuffed,lesson_7
写字楼 <br \>寫字樓,xiězìlóu,office building,lesson_7
白领 <br \>白領,báilǐnɡ,white collar worker,lesson_7
快餐,kuàicān,fast food,lesson_7
答复,dáfù,reply; answer,lesson_7
价值 <br \>價值,jiàzhí,"value, cost",lesson_7
特色,tèsè,characteristic / distinguishing feature or quality,lesson_7
改进 <br \>改進,gǎijìn,improve,lesson_7
流泪 <br \>流淚,liúlèi,to shed tears,lesson_7
客户,kèhù,customer; client,lesson_7
责备 <br \>責備,zébèi,accuse; blame,lesson_7
放弃 <br \>放棄,fàngqì,abandon; give up; renounce,lesson_7
业务 <br \>業務,yèwù,business,lesson_7
详细 <br \>詳細,xiángxì,elaborate; detailed,lesson_7
收集,shōují,collect; gather,lesson_7
信息,xìnxī,information,lesson_7
当地 <br \>當地,dāngdì,local,lesson_7
风味 <br \>風味,fēngwèi,special flavor,lesson_7
风格 <br \>風格,fēnggé,style,lesson_7
中转<br \>中轉,zhōngzhuǎn,transfer; change hands,lesson_7
赚取,zhuàn,earn; make a profit,lesson_7
差价 <br \>差價,chājià,price difference,lesson_7
订购 <br \>訂購,dìnggòu,order (goods),lesson_7
事先,shìxiān,in advance / before(hand) / prior,lesson_7
优惠 <br \>優惠,yōuhuì,favor; discount,lesson_7
价 <br \>價,jià,price,lesson_7
聘请 <br \>聘請,pìnqǐng,employ,lesson_7
过后 <br \>過後,guòhòu,afterwards,lesson_7
亲自 <br \>親自,qīnzì,personally; in person,lesson_7
推销 <br \>推銷,tuīxiāo,promote (goods),lesson_7
保证 <br \>保證,bǎozhèng,pledge; guarantee; assure,lesson_7
满足,mǎnzú,to satisfy,lesson_7
及时 <br \>及時,jíshí,timely; in time,lesson_7
营养 <br \>營養,yíngyǎng,nutrition; nourishment,lesson_7
变换 <br \>變換,biànhuàn,vary / alternate / to convert,lesson_7
起初,qǐchū,at first; in the beginning; originally,lesson_7
怀疑 <br \>懷疑,huáiyí,doubt; suspect; distrust,lesson_7
尝试 <br \>嘗試,chángshì,attempt; try,lesson_7
果然,guǒrán,really / sure enough / as expected,lesson_7
专门 <br \>專門,zhuānmén,special; specialized,lesson_7
创 <br \>創,chuàng,begin; initiate; establish,lesson_7
知名,zhīmíng,well-known; famous,lesson_7
突破,tūpò,breakthrough,lesson_7
